term,estimate,std_error,statistic,p_value,name,n,estimate_for_ranking,Rank
x41,3.812854101180109,1.7795509408838972,2.1425934001564895,0.03214576157848629,古力,79,0.3071387476388314,1
x145,3.7779478120949093,1.7767099831977071,2.126372817073607,0.0334722292941945,李世乭,100,0.27782914519542645,2
x103,3.4844600268724255,1.7984184338297584,1.9375135181706389,0.05268260254995262,崔哲瀚,39,-0.058424287772198547,3
x66,3.347688913147123,1.7827242063995192,1.8778501470557167,0.06040166789399187,姜東潤,62,-0.16427777345992967,4
x152,3.253152324180302,1.7822471989778481,1.825309264644122,0.0679543728839005,李昌鎬,65,-0.25787465780605867,5
x24,3.092711673616738,1.788861347470612,1.7288716523445067,0.0838320685873579,元晟溱,47,-0.4313451809003679,6
x153,2.98785550722147,1.7857515825950376,1.6731641379141582,0.09429498807126512,李映九,48,-0.5300751104907544,7
x255,2.954482711180494,1.7835174373207252,1.6565482620785823,0.09761083992165305,謝赫,57,-0.5590466403413346,8
x51,2.9533508939457787,1.7894387919470542,1.6504341513309286,0.09885417096109597,周鶴洋,45,-0.5718435261899182,9
x142,2.888926399950636,1.7858742726585632,1.6176538540140346,0.10573721607726601,朴永訓,53,-0.6292459171867337,10
x165,3.534972404680624,2.1209259256178936,1.6667118648430748,0.09557171251378746,李豪傑,5,-0.6432516687866263,11
x70,2.855688718184737,1.7783987992352763,1.6057639711704161,0.10832577962117257,孔傑,64,-0.6477569163087575,12
x114,2.836939233683689,1.7837039635472978,1.5904764981526391,0.11172743902764855,張栩,63,-0.6769575745044878,13
x253,2.9474267481944336,1.8458934404851344,1.596748048153742,0.11032188062259529,許映皓,20,-0.6889833295612808,14
x128,2.8501594454539703,1.8000948058207709,1.5833385198589094,0.11334432770590465,時越,36,-0.6960273220129483,15
x240,3.5432159605241904,2.1525324467875078,1.6460685486122046,0.09974964684686555,芈昱廷,5,-0.6972729596472003,16
x140,2.803798922223041,1.780483179776517,1.5747404716145472,0.11531636193171943,朴文尭,63,-0.7037529419366977,17
x109,2.8016736792859747,1.779427613555021,1.574480275535718,0.11537645804889408,常昊,63,-0.7037987194174167,18
x135,2.8368819751036924,1.8017619690021573,1.5745043040700875,0.11537090727300257,朱元豪,36,-0.7125891038305574,19
x298,3.602779616334418,2.1968419265954333,1.639981271623782,0.10100906105302042,韓鐘振,4,-0.7249989790585856,20
x297,2.7541377145220727,1.8034588767049458,1.5271419548828795,0.12672571623966117,韓尚勲,36,-0.7986762725866705,21
x228,2.6898342320670108,1.7813545467808272,1.5099937499404268,0.13104501898744175,睦鎮碩,63,-0.8194342250912188,22
x264,2.7019420681714514,1.7890656630807014,1.510253158354631,0.13097883914404962,邱峻,44,-0.8225172880975302,23
x191,3.0400757490263732,1.9655035889257775,1.546715949110981,0.12193175547966649,毛睿龍,7,-0.8319663211574082,24
x33,2.6264000813866164,1.779877406382583,1.4756072929340134,0.14004934618604895,劉星,57,-0.879958409187072,25
x280,2.7233216275993173,1.8292807835497495,1.488738990804171,0.1365561133287952,金炯佑,20,-0.8803615159936893,26
x218,2.634639459743028,1.7861312374891947,1.4750536827554737,0.14019811141644828,王檄,48,-0.8840390781106855,27
x148,2.6208825947289385,1.7840380518878942,1.4690732588105302,0.14181291998242346,李喆,52,-0.893672367490213,28
x93,2.683435199343575,1.8253610113470193,1.4700846477285843,0.14153882974704116,尹畯相,23,-0.9125259930100529,29
x239,2.606047194779689,1.7919910145160565,1.4542746998558338,0.1458701619104647,胡耀宇,39,-0.9241751038169421,30
x65,2.6626925411850277,1.8228105584018968,1.460762079148519,0.1440807458680759,姜儒澤,26,-0.9282442588667088,31
x120,2.6224503651924547,1.816619972422182,1.4435877646417277,0.14885496867312173,彭立尭,24,-0.9562909804792441,32
x261,2.549789534993523,1.7885208210255765,1.4256415161727993,0.15397184600724897,趙漢乗,47,-0.9735964824268626,33
x288,2.558339008152926,1.8068490208334276,1.4159118878526253,0.15680130391911482,鍾文靖,29,-1.001153562888926,34
x48,2.493803234419368,1.7835954603169613,1.3981888213464035,0.16205637275693122,周睿羊,51,-1.0198798224050454,35
x214,2.498877663380762,1.7924479920363847,1.394114459377875,0.16328304347315842,王尭,41,-1.0322448809309157,36
x141,2.481023166079221,1.7879882921266435,1.3876059351195627,0.1652570731893805,朴正祥,50,-1.0413137694102663,37
x14,2.4387001607394607,1.7878844138369823,1.3640144417981481,0.17256302044359403,井山裕太,57,-1.0834321345193945,38
x81,2.569657862118113,1.8801380671013168,1.3667389151265132,0.17170715549613766,宋泰坤,13,-1.1342141300714808,39
x146,2.5179945468694767,1.8587021161601909,1.3547058051837206,0.1755113075895974,李元道,16,-1.1436486219660993,40
x251,2.5587901949107645,1.8901939463170985,1.3537183313365149,0.17582625747459008,裴俊熙,10,-1.1648918793339194,41
x219,2.3827490298344673,1.803617056163919,1.3210947532855415,0.18646977227723716,王煜輝,29,-1.170376570808453,42
x273,2.385725800772629,1.8131052763565811,1.3158230974688483,0.18823342495456546,金志錫,28,-1.1860915936498357,43
x1,2.3068231722835644,1.7888074356308166,1.2895872000163457,0.19719402227306695,丁偉,43,-1.2171274759091442,44
x198,2.2850308995664976,1.799004136619309,1.2701643387327228,0.20402609753987772,洪性志,38,-1.259007249573541,45
x270,2.990664480478964,2.164126905702386,1.3819265739909639,0.16699424751034067,金亨奐,3,-1.2726655237547364,46
x71,2.224266229579515,1.810779191152321,1.228347575699754,0.21931651853966525,孟泰齢,25,-1.3429687769905572,47
x291,2.183082008449953,1.7904305430723721,1.2193056116568433,0.2227282195244677,陳耀燁,41,-1.3440661614026204,48
x136,2.196004775287334,1.8098086417363284,1.213390589836332,0.2249805223745158,朴廷桓,29,-1.3693182489332325,49
x104,2.2120274347770708,1.8249171263898054,1.212124870104692,0.22546458496627106,崔明勲,21,-1.3830593042108457,50
x224,2.1523756691354086,1.7959396905217602,1.1984676771134202,0.23073499916008883,王雷,35,-1.385625521192459,51
x310,2.133452457738831,1.7927755560788645,1.190027636479544,0.23403552995533927,黄奕中,42,-1.398315387736532,52
x121,2.0796436202211876,1.793663027304797,1.1594394200933673,0.24627711637433541,彭筌,37,-1.4538725435692625,53
x150,2.0929484811139814,1.8008909182701067,1.162173932846759,0.24516482081283866,李康,33,-1.4548066278781286,54
x192,2.16168830864405,1.8424771621115372,1.1732510736614432,0.24069513615536595,江維傑,17,-1.467991700715678,55
x42,2.0617814170717033,1.7971449404513236,1.1472538305975035,0.2512767295068744,古霊益,38,-1.4785941156174043,56
x237,2.0386378366089892,1.8003699286401258,1.1323438612134753,0.25748989675005335,羽根直樹,36,-1.5080909228120585,57
x196,1.9954505399804077,1.791260303962015,1.1139924976658908,0.26528240519621543,河野臨,45,-1.533332258824762,58
x220,1.976046063904657,1.7901478708053271,1.1038451605764281,0.26966031091391485,王磊,43,-1.5505452415818375,59
x74,2.128773788594381,1.8806013575980085,1.1319644006390328,0.25764940136637093,孫騰宇,12,-1.5760108858736954,60
x294,2.457618042823564,2.0707386151615768,1.1868316091800892,0.2352940480434899,陶欣然,5,-1.6217370290447426,61
x305,2.0556851978462225,1.8683399436042556,1.1002736439282859,0.27121291198572267,高根台,14,-1.624944491054161,62
x155,2.360168709326148,2.0325146995818764,1.161206218981676,0.24555804629543834,李泰賢,5,-1.6438852488501485,63
x303,1.859327130620479,1.7811326523127227,1.043901546696269,0.2965309425370524,高尾紳路,54,-1.6495041944355846,64
x275,2.048660612546483,1.8778645244972596,1.090952294918585,0.27529387439451414,金成龍,12,-1.6507325007131186,65
x176,1.8728709290708476,1.7902282689325275,1.0461631969355494,0.29548569150450127,柁嘉熹,42,-1.6538787607262315,66
x312,1.8869346372448712,1.7975232814584583,1.0497414173761728,0.2938370159457622,黄翊祖,39,-1.6541862272282915,67
x226,1.8805940317180931,1.800390143785783,1.0445480598797663,0.2962318959056375,白洪淅,35,-1.6661745515398991,68
x180,2.404550523790598,2.087442984384907,1.1519119524594492,0.24935725614295842,桂文波,4,-1.7077121554476689,69
x116,1.8201943024808827,1.804992439285922,1.008422120150805,0.3132518581241195,張立,31,-1.7356408029123835,70
x151,1.9482166538134096,1.87280059729931,1.040269133095565,0.29821488053680206,李廷宇,13,-1.7412005228662313,71
x132,1.8172624474340957,1.806993522774948,1.0056828785104763,0.31456814183055315,曺薫鉉,31,-1.7425147924325521,72
x210,1.786096893134902,1.802158641936977,0.9910874945033631,0.3216428588337028,牛雨田,33,-1.764155631480943,73
x293,1.8483254835649472,1.8389821761642198,1.0050806949201736,0.31485799507610845,陶忻,18,-1.7744694034785655,74
x96,1.715647395249098,1.7868934734294009,0.9601285251528914,0.33699053366942927,山下敬吾,48,-1.8045327474068218,75
x91,1.962202121580381,1.913766272558229,1.025309176839764,0.30521732710683314,小県真樹,9,-1.80791743535933,76
x22,1.7020678981510138,1.7875921898975364,0.9521567098861486,0.34101751198456187,依田紀基,49,-1.8194887159471331,77
x49,2.0975707225698765,1.9885468072022627,1.054825923620577,0.29150494608447136,周賀璽,6,-1.8198664876185808,78
x72,1.762165246783315,1.8201416591171047,0.9681473076321366,0.33297080623678704,孫力,25,-1.823513821677381,79
x54,2.1283604007579533,2.0110121323262655,1.058352839620089,0.2898946114875864,国宇征,5,-1.8333334999247897,80
x78,1.8140744161276543,1.8605357774369473,0.9750279667433767,0.32954638759770866,安祚永,15,-1.8511810654231318,81
x21,2.104735281612439,2.014316280353802,1.0448881847108715,0.29607465117731985,佟禹林,6,-1.8634677906845507,82
x28,1.675249679793243,1.8066087876021617,0.9272896773721186,0.35377615244206545,兪斌,30,-1.8837696317830157,83
x234,1.946081765919125,1.9460877468934452,0.9999969266677056,0.3173119951780836,秋山次郎,8,-1.8877110954609622,84
x283,1.703621070963474,1.8233504526468314,0.9343355077409532,0.3501308536522743,金起用,26,-1.8883793207507835,85
x30,1.8102994466785907,1.8871670834204834,0.959268239989344,0.33742363082126464,劉世振,10,-1.9074197076597619,86
x265,1.6577162578110642,1.8140904217720335,0.9138002372515586,0.360821821761942,邵煒剛,26,-1.9160418730798416,87
x246,1.9736201222830023,1.9793733496129513,0.9970934097243079,0.3187191716031075,蒋蔚,6,-1.9257453764545116,88
x260,1.5678167431685373,1.7860708166998025,0.8778021165283119,0.3800511156746244,趙治勲,49,-1.9507427657300738,89
x194,2.5587572048935403,2.296939043447768,1.1139856811579885,0.26528532953998896,汪涛,2,-1.9662127106985627,90
x2,1.851275754981762,1.9382740959946176,0.9551155632773327,0.33951925937924254,丁烈,8,-1.9671242141276346,91
x289,1.9717697797971703,2.0037149046631484,0.9840570508351094,0.32508746271482464,陳時暎,6,-1.975548582389232,92
x92,1.6322465823536947,1.839788835037301,0.8871923512464416,0.3749753497214855,尹燦熙,19,-1.9921374226697883,93
x167,1.2846661850074732,1.6825766048522686,0.7635112608262301,0.44515854918467684,李赫,17,-2.030009726551496,94
x202,1.510912595334618,1.8439031437010405,0.8194099568060548,0.412552556065195,温昭珍,18,-2.121576597756432,95
x306,2.2624897158955237,2.2483854189807944,1.0062730779143385,0.3142842272972908,高梨聖健,4,-2.166829559496641,96
x184,1.3753729618671384,1.8216618771774125,0.7550100153592829,0.45024297289617554,楊一,22,-2.213300936172364,97
x111,1.3199772871102324,1.8073739060748082,0.7303288393583778,0.46518920408650916,廖行文,21,-2.2405493078571395,98
x300,1.3935787547085077,1.850047826945942,0.7532663396108126,0.4512898816537033,馬暁春,16,-2.2510154643749978,99
x97,1.4014346859370765,1.8593140992527553,0.7537374596902712,0.4510068838620508,山城宏,18,-2.2614140895908514,100
x235,1.3097430686435563,1.8166242052960613,0.7209763388736214,0.47092407258655994,結城聡,25,-2.269006615789684,101
x269,1.3757281279306401,1.8571210904620692,0.7407853666603647,0.45882358917133326,金主鎬,15,-2.282800420279636,102
x18,1.4798582289925888,1.9222025498622695,0.7698763218780582,0.44137326074310657,仲邑信也,11,-2.306880794236082,103
x236,1.205768699250432,1.8017504080006352,0.6692207166410181,0.5033546929462481,羅洗河,34,-2.343679604510819,104
x299,1.349079450491606,1.88654900436939,0.7151043770222962,0.47454454952522,首藤瞬,11,-2.367422088116092,105
x268,1.9600272391353644,2.1991748253271415,0.8912557640085743,0.37279197439702183,鄭淼鑫,3,-2.3723471667591047,106
x130,1.7734309957445609,2.1088734962843443,0.8409375900779233,0.4003828984049927,曹大元,4,-2.381049791935597,107
x222,1.1726193459834875,1.8103453747904048,0.6477323953277419,0.5171580476262055,王立誠,33,-2.39376104235361,108
x131,1.4347773531269703,1.9527042938340335,0.7347642741696744,0.4624830683482689,曹瀟陽,6,-2.4120501057260757,109
x307,1.8423190140030856,2.166734711441665,0.8502743802803966,0.39517255689267955,高野英樹,4,-2.426148367536994,110
x117,1.1468400269324508,1.8171233217355796,0.6311294413617868,0.5279558921969476,張維,25,-2.432892916886641,111
x32,1.1846994450216446,1.8390784549940773,0.6441810254503035,0.51945805358864,劉昌赫,24,-2.4382851113166875,112
x193,1.2559501260871861,1.8757547691031804,0.6695705359649279,0.5031316018489558,汪洋,12,-2.4392867690460793,113
x17,1.1291381118910522,1.8129198189413889,0.6228284892105076,0.5333972347251693,付沖,27,-2.442313931423484,114
x248,1.1891135000464184,1.849526566651909,0.6429285858807651,0.5202704397530443,藍天,17,-2.454453836257842,115
x199,1.166785454605616,1.8408808020444782,0.6338191225144977,0.5261988720710318,洪旼杓,21,-2.4597497254220064,116
x223,1.1149909736321486,1.81798585774109,0.6133111370940825,0.5396706307519407,王銘琬,28,-2.4664411661177983,117
x160,1.3462140384775252,1.9368203705612896,0.6950639609843596,0.48701521876434034,李相勲,10,-2.4693220915282152,118
x100,1.0651868974429,1.7958579152139655,0.5931353969704165,0.5530905431249278,山田規三生,40,-2.472653195528612,119
x204,1.224844966123052,1.8844082699316995,0.649989169367977,0.5156992176259173,溝上知親,12,-2.487439325642396,120
x178,1.3845821206194242,1.9712197322721086,0.7023986712143441,0.48243057374828974,柳東完,7,-2.4987207519566295,121
x216,1.4044606129321984,1.9816229862628256,0.7087425926466936,0.47848422830409726,王昊洋,7,-2.499336670005568,122
x67,1.8236220434939399,2.2009763385904146,0.828551407627514,0.40735829407344654,姜至省,3,-2.512301343529177,123
x40,1.150321607250083,1.8697132670423182,0.6152395811309431,0.5383965117999377,厳歓,13,-2.533013528823284,124
x75,1.765899040909922,2.1989008711332354,0.8030826055382116,0.4219269908363322,安冬旭,3,-2.565935675222552,125
x177,1.053235973504712,1.8524472453350675,0.5685646250693658,0.5696516371998537,柳時熏,19,-2.5960850998053706,126
x188,0.9722325317741168,1.8186033427696133,0.5346039506852938,0.5929237511837965,檀嘯,25,-2.6104160534820213,127
x47,1.172246052826193,1.9266623134732563,0.6084335820702006,0.5428999442674781,周俊勲,11,-2.623278704716122,128
x281,1.1017237612932416,1.8995528238751005,0.5799911155119749,0.5619206091549118,金秀俊,11,-2.6403953017407065,129
x209,0.9422339818457406,1.8271406961291758,0.5156876992789209,0.606072547194726,片岡聡,22,-2.657233189528736,130
x115,2.040653369805175,2.400394839722884,0.8501323765721644,0.39525149301335666,張涛,2,-2.6881244644489066,131
x102,0.9660388164483465,1.8569360089417393,0.5202326907317008,0.6029014029513697,崔原踊,23,-2.69212512116688,132
x195,1.2230512308686357,1.9983916098090289,0.6120177971451318,0.5405259826733925,河英一,7,-2.713780240455151,133
x301,0.9024762795251215,1.847930358079074,0.48837136939686776,0.6252868176040447,馬笑氷,20,-2.7379465258906546,134
x302,0.8952018056937276,1.852555351196395,0.4832254027473992,0.6289357002684758,馮偉,17,-2.7543322361631706,135
x278,0.8445621691930087,1.8276545441089387,0.4621016438337748,0.6440084314262442,金昇宰,28,-2.7559172827016005,136
x250,0.8475586375433862,1.8305668189729782,0.46300338712514233,0.6433619392566635,蘇耀国,21,-2.7586579958333806,137
x23,1.6934719466569887,2.2707608126037955,0.745772930930206,0.45580459444080335,倉橋正行,2,-2.779926854172488,138
x89,0.7729824927002862,1.8146410367293297,0.42596991749591057,0.6701297664772417,小林覚,30,-2.8018603496564936,139
x29,0.8814937965016192,1.8760848478296572,0.46985817167137855,0.6384563502837552,内田修平,13,-2.8143933537228056,140
x276,0.9404430200322541,1.9101647576660865,0.49233607533484386,0.6224817813848629,金承俊,11,-2.822581552569936,141
x26,0.9934082032129721,1.9374581400518773,0.5127378923326688,0.6081346798302254,党毅飛,9,-2.8233843326892263,142
x282,1.3063055132055643,2.099722523856525,0.622132447675179,0.5338547805320095,金秀勇,5,-2.83014785879179,143
x94,1.442087522239229,2.207946119967029,0.6531352867708401,0.5136690652270355,尹盛鉉,4,-2.907566334095818,144
x166,0.9502744382503615,1.9628095511649795,0.4841399093897564,0.6282865794268961,李賢虎,9,-2.916460377544648,145
x292,0.9065886455249185,1.943988239421035,0.4663550052107937,0.6409614126264066,陳詩淵,9,-2.9230681861345205,146
x138,0.7932667175687959,1.887606316650399,0.42025008635087957,0.67430276887502,朴承華,18,-2.92531772623249,147
x35,0.9691734341313288,1.978616540200369,0.48982378062663084,0.6242586014063742,劉菁,8,-2.9287011500633984,148
x126,1.733755761050905,2.3743684584260287,0.7301965939187944,0.46527002424463787,戎毅,2,-2.9437501020483716,149
x156,1.372928161384902,2.200683431303648,0.6238644513134732,0.532716607984582,李熙星,3,-2.9624181982832845,150
x68,1.419135234360472,2.2299884613340573,0.6363868060158013,0.5245243383903574,婁璽,4,-2.973942034467621,151
x168,1.2138013557908476,2.1351689480313887,0.5684802398938802,0.569708919490335,李載雄,4,-2.9924814718309882,152
x8,0.6778265410365166,1.8768917264878267,0.3611431237458294,0.7179924574387015,中小野田智己,12,-3.019650160144502,153
x11,0.8567929615020827,1.9695451219218278,0.4350207324349329,0.6635473787469441,中野寛也,7,-3.023210928683918,154
x76,0.7482297912604107,1.9216285949068206,0.38937273999957944,0.6970004344106085,安斎伸彰,10,-3.0373785407060256,155
x164,1.5310884353716314,2.3311831376375673,0.6567859944814306,0.5113185309553243,李聡,2,-3.061342345774376,156
x201,0.9164763079988484,2.0276665338371695,0.45198571496098155,0.6512792734706496,清成哲也,6,-3.0780267636603753,157
x290,0.5212137585597959,1.8323859553534063,0.2844454013833953,0.7760690699349471,陳瀟南,23,-3.0885865734864146,158
x95,1.2290383198929136,2.193112840190764,0.5604081547331636,0.5752010706140013,尹赫,5,-3.0913939752828914,159
x62,0.9686183775673356,2.063264238393941,0.4694591994292088,0.6387414419737198,大矢浩一,4,-3.0960121720687273,160
x87,0.48837532013698626,1.8261508659055583,0.26743426803064757,0.7891348178712909,小林光一,24,-3.1091418856969635,161
x27,1.2386460721762922,2.208934343271737,0.5607437251130272,0.5749722547340713,全瑛圭,3,-3.1129545840690294,162
x157,0.6961168526367874,1.939219254644485,0.3589675850059594,0.7196193387513159,李玟眞,8,-3.124145079012848,163
x205,1.514327131716279,2.3687204777274133,0.6393017436861725,0.522626654352801,潘峰,2,-3.1520522094067256,164
x53,0.8900805806145065,2.0679607668420714,0.43041463594772406,0.6668940506193871,唐韋星,5,-3.183802130064374,165
x10,1.313139826030064,2.3025746788661587,0.5702919597277446,0.5684796932872964,中村秀仁,2,-3.2229322913362686,166
x134,0.5326690005994825,1.9173121444141998,0.27782069922799657,0.7811500007721236,本田邦久,11,-3.244435923896491,167
x50,0.9647169195394212,2.141466959934244,0.450493487683342,0.652354648866005,周逵,4,-3.253972991531039,168
x238,0.6009643287476937,1.9609771363955135,0.30646167035497957,0.7592531593503713,聶衛平,10,-3.2621606299514676,169
x6,0.6564197333654952,2.003825230676546,0.32758332578928057,0.7432267309739603,三谷哲也,7,-3.2911159710673004,170
x147,0.44032858161431204,1.9002110285088174,0.23172614778467948,0.8167507210935081,李劫,14,-3.3030871445480585,171
x189,0.34574028697023607,1.855343142259493,0.1863484328560285,0.8521715286405722,武宮正樹,16,-3.309285703280965,172
x5,0.4426985544544182,1.9067543840827972,0.23217387522482016,0.816402967943068,三村智保,13,-3.313607582188692,173
x113,1.5269160130438169,2.4663987994828576,0.6190872349451245,0.535858892157532,張東岳,2,-3.331889621937413,174
x213,1.1463194592914638,2.277293581611271,0.5033692048086307,0.6147047186712453,王偉,3,-3.33994889648274,175
x266,0.701044028855355,2.0566823790736977,0.3408615914583252,0.7332077806304713,鄒俊傑,6,-3.3506202579198296,176
x63,0.30297665538157714,1.8958879404487918,0.15980725913044047,0.8730329056183129,大竹英雄,12,-3.4319225873025427,177
x206,0.44439756209706527,1.969416800744918,0.2256493201078487,0.8214741780873813,潘非,8,-3.435353535370423,178
x256,0.26220554940925306,1.889428576403037,0.13877505224803036,0.8896279086229083,趙哲倫,17,-3.45996874610473,179
x257,0.13296242206302947,1.8247877084858506,0.07286459758837227,0.9419138660606861,趙善津,24,-3.4618693636540963,180
x31,1.2905484062092167,2.413847576053319,0.5346437028634944,0.5928962573441607,劉宇,2,-3.4647313186158213,181
x208,0.48360311345576745,2.0089949360180417,0.2407189310363819,0.809772965502603,熊本秀生,8,-3.4741169104997747,182
x258,0.12444782069622039,1.8520374773537904,0.06719508769014365,0.9464263957432448,趙守洵,24,-3.524066009690747,183
x56,0.44343974404283043,2.057702539938794,0.21550235538710102,0.8293756758714828,大垣雄作,5,-3.6102342596365933,184
x197,0.7914961250880697,2.2427316545007194,0.35291610723899725,0.7241513350077295,洪マルグンセム,3,-3.6266852342783475,185
x86,0.08468824087913879,1.8840502758048994,0.04495009605991458,0.9641470862887859,小松英樹,13,-3.626890802456513,186
x162,0.88507098914924,2.2912493574775024,0.3862831368662721,0.6992869880005115,李章元,3,-3.62869024508144,187
x308,0.31712944336694127,2.0050248000383784,0.15816734205026844,0.8743249370551027,魯佳,6,-3.632769412708664,188
x112,0.34270983463081034,2.0262194712446844,0.16913756850845355,0.8656884352110239,張学斌,6,-3.648942523721218,189
x309,-0.02820137338308922,1.873495255546983,-0.015052812810489657,0.9879900466137994,鶴山淳志,15,-3.7189870268106455,190
x263,0.4041949816196911,2.1046307685455017,0.19205030528895475,0.8477028008456442,車敏洙,6,-3.741927632414947,191
x98,0.1507246052082337,1.9844158314451663,0.07595414369299167,0.9394555807886013,山田拓自,7,-3.758574582738744,192
x259,-0.10613918413914566,1.8634351168919756,-0.05695888371803107,0.9545779479775619,趙恵連,14,-3.7771063644163374,193
x187,0.3459913310628787,2.0970951778613816,0.16498599334710254,0.868955006662602,橋本雄二郎,4,-3.7852861693240434,194
x171,0.23916642017281978,2.0449107324351883,0.11695690006380265,0.9068942077713601,林子淵,5,-3.789307722724501,195
x284,0.5134944273494327,2.192061724025416,0.23425181039449555,0.8147894948504373,金鐘秀,4,-3.8048671689806364,196
x244,0.1592643971943397,2.015248089560397,0.0790296728325302,0.9370090213616963,葉桂,5,-3.810774339239642,197
x34,0.623026814254033,2.2638182935333115,0.27521061033641003,0.7831544357417182,劉耀文,3,-3.8366952240065904,198
x175,0.24562955277384327,2.0732841125837256,0.11847365794345467,0.9056923659968228,林至涵,7,-3.8387401490160964,199
x249,0.4991245621556466,2.2077351764639337,0.226079906447421,0.8211392723576236,藤井秀哉,3,-3.8501137354783026,200
x241,-0.3448673700885489,1.7839305422995033,-0.193318832718684,0.8467092781421258,芮廼偉,21,-3.8592105384185706,201
x304,0.4340069745708547,2.182264733886239,0.19887915880763135,0.8423572727165408,高木祥一,3,-3.8650545511850356,202
x77,0.05237465472093057,1.9957898734023185,0.026242569630662065,0.9790638619071006,安田泰敏,6,-3.879331395881637,203
x125,-0.26848519145702354,1.8495354352014963,-0.1451635834313029,0.8845817175401487,志田達哉,17,-3.9120699988039713,204
x311,0.6592311469983523,2.327831519082694,0.2831953866051823,0.777027064622178,黄晨,3,-3.9265969455945546,205
x313,0.0,1.9975248596639426,,,黎春華,2,-3.9351239735379666,206
x154,-0.17557363444326637,1.9141523242764484,-0.09172396168086225,0.9269173589734205,李沂修,11,-3.9464537132678696,207
