name,ping,n
申眞諝,10.681546375958604,76
柯潔,9.477704242297118,44
李泰賢,9.434867765378495,6
曹瀟陽,9.161814689751232,8
辜梓豪,9.143227485771753,31
朴廷桓,9.087871137634837,75
謝科,8.841026271070627,29
連笑,8.817613138328843,40
范廷鈺,8.783944774404967,43
申旻埈,8.662126845261515,55
王昊洋,8.608883740942138,5
楊鼎新,8.566192915844844,39
柁嘉熹,8.476315036349366,34
韓相朝,8.433542524883118,5
屠暁宇,8.427287323559588,15
江維傑,8.420595225390299,35
丁浩,8.395452527453363,26
趙晨宇,8.38188167001795,37
芈昱廷,8.376898734958917,39
卞相壹,8.299369481650084,46
姜東潤,8.294336327550766,46
李維清,8.2924231482683,29
謝爾豪,8.28330512015252,22
劉宇航,8.270546776885961,7
柳琪峰,8.1833595664878,2
童夢成,8.181294341907615,24
井山裕太,8.174950597633993,49
一力遼,8.156280671442406,52
陶欣然,8.12316345783401,18
彭立尭,8.115103302761746,17
張涛,8.114632963287923,10
李東勲,8.071357385989366,48
李欽誠,8.055474823209705,27
范蘊若,8.048553730513,9
姜知勲,8.031069261062175,5
陳賢,8.027283968322728,16
楊楷文,8.019338060401886,8
金志錫,8.014257172695746,44
陳玉儂,7.955911957246248,2
何語涵,7.946123695730724,13
李志賢,7.932949169956568,25
李軒豪,7.893275614982659,29
伊淩濤,7.856348909135055,20
廖元赫,7.8550424530714595,29
王星昊,7.853519581524163,20
陳耀燁,7.851712285326685,23
時越,7.818661617813248,35
羅玄,7.773499207532359,38
檀嘯,7.756837555023298,23
許嘉陽,7.7390918373868605,15
偰玹準,7.7278410592595925,25
黄雲嵩,7.685706376456157,18
戎毅,7.647888094333542,11
許皓鋐,7.624484004238735,76
朴永訓,7.603886042321191,35
芝野虎丸,7.596489597777079,47
陳時暎,7.588092827569105,14
毛睿龍,7.575704410237419,2
王世一,7.554848338280321,8
范胤,7.553836127831721,22
唐韋星,7.543447903829368,25
韓昇周,7.53882859763193,23
崔哲瀚,7.538506589944147,25
李雨昴,7.461116856019866,2
趙漢乗,7.439346536098171,27
金眞輝,7.398433871604887,3
文敏鍾,7.3945634615613045,18
李昌錫,7.389142307876329,35
蒋其潤,7.35085303877545,8
金昌勲,7.344491638744108,19
廖行文,7.323543187812711,9
安成浚,7.3094595542593535,13
陳浩,7.295303592011924,7
沈載益,7.294020931246039,13
朴進率,7.282930659955982,21
周睿羊,7.2803850517641875,18
大西竜平,7.257042545676382,22
劉星,7.250490219391358,2
朴常鎭,7.250182773741709,25
許家元,7.239783174540218,49
李映九,7.227449271598215,35
李翔宇,7.226813077937352,5
余正麒,7.222663651982751,23
党毅飛,7.221005705863635,20
白洪淅,7.217761391846186,25
洪旼杓,7.216900787373049,2
夏晨琨,7.207601549488835,10
韓一洲,7.205419470123208,13
孟泰齢,7.204121815809973,10
洪性志,7.193301900131165,18
洪基杓,7.192356685963885,30
陳梓健,7.181676791447616,12
朴河旼,7.180609399721405,23
白現宇,7.1621267707902785,13
鄔光亜,7.1501934637082645,13
宋知勲,7.136721051942361,28
溝上知親,7.123804226116795,8
河野臨,7.099207494876913,40
崔明勲,7.073756244623695,2
許映皓,7.073658136875403,16
梁寓晳,7.039052832008455,2
朴鍵昊,6.967218408044421,41
山下敬吾,6.937673245238008,41
